Subject,Start Date,Start Time,End Date,End Time
Visitor Center Front Desk,07/01/2024,01:30 PM,07/01/2024,04:30 PM
Campanile Elevator,07/03/2024,01:30 PM,07/03/2024,04:30 PM
Campus Walking Tour,07/06/2024,09:30 AM,07/06/2024,11:00 AM
Visitor Center Front Desk,07/08/2024,01:30 PM,07/08/2024,04:30 PM
Campanile Elevator,07/10/2024,01:30 PM,07/10/2024,04:30 PM
Campus Walking Tour,07/13/2024,09:30 AM,07/13/2024,11:00 AM
Visitor Center Front Desk,07/15/2024,01:30 PM,07/15/2024,04:30 PM
Campanile Elevator,07/17/2024,01:30 PM,07/17/2024,04:30 PM
Visitor Center Front Desk,07/22/2024,01:30 PM,07/22/2024,04:30 PM
Campanile Elevator,07/24/2024,01:30 PM,07/24/2024,04:30 PM
Campus Walking Tour,07/27/2024,09:30 AM,07/27/2024,11:00 AM
Visitor Center Front Desk,07/29/2024,01:30 PM,07/29/2024,04:30 PM
Campanile Elevator,07/31/2024,01:30 PM,07/31/2024,04:30 PM
Campus Walking Tour,08/03/2024,09:30 AM,08/03/2024,11:00 AM
Visitor Center Front Desk,08/05/2024,01:30 PM,08/05/2024,04:30 PM
Campanile Elevator,08/07/2024,01:30 PM,08/07/2024,04:30 PM
